timestamp, bead_x, bead_y, bead_z
1.812500,0.000970,0.029926,0.103832 
1.812500,0.000776,0.038983,0.109847 
1.812500,0.000753,0.040838,0.117497 
1.828125,0.001150,0.039809,0.125647 
1.828125,0.000776,0.037030,0.132978 
1.828125,0.000526,0.027572,0.138374 
1.828125,0.000493,0.014659,0.140479 
1.843750,-0.000329,0.001921,0.137914 
1.843750,-0.000860,-0.013677,0.131403 
1.843750,-0.000851,-0.026391,0.121612 
1.843750,-0.001506,-0.034566,0.111847 
1.859375,-0.001718,-0.039426,0.104679 
1.859375,-0.001426,-0.039850,0.102689 
1.859375,-0.001646,-0.039720,0.107228 
1.859375,-0.001660,-0.040201,0.118133 
1.875000,-0.001289,-0.038121,0.130439 
1.875000,-0.001630,-0.039243,0.139372 
1.875000,-0.001570,-0.040628,0.141328 
1.890625,-0.001185,-0.036606,0.136854 
1.890625,-0.001437,-0.031205,0.128128 
1.890625,-0.001212,-0.023776,0.117716 
1.890625,-0.000302,-0.009512,0.108375 
1.906250,-0.000288,0.006348,0.102095 
1.906250,0.000042,0.018002,0.101018 
1.906250,0.000997,0.029849,0.103821 
1.906250,0.000664,0.038909,0.109834 
1.921875,0.000798,0.040859,0.117465 
1.921875,0.001187,0.039755,0.125635 
1.921875,0.000661,0.037060,0.132941 
1.921875,0.000555,0.027725,0.138368 
1.937500,0.000450,0.014659,0.140477 
1.937500,-0.000379,0.001914,0.137921 
1.937500,-0.000803,-0.013510,0.131425 
1.953125,-0.000941,-0.026366,0.121658 
1.953125,-0.001402,-0.034561,0.111890 
1.953125,-0.001642,-0.039336,0.104698 
1.953125,-0.001537,-0.039815,0.102667 
1.968750,-0.001550,-0.039680,0.107189 
1.968750,-0.001595,-0.040107,0.118074 
1.968750,-0.001401,-0.038165,0.130380 
1.968750,-0.001511,-0.039230,0.139348 
1.984375,-0.001505,-0.040551,0.141342 
1.984375,-0.001269,-0.036641,0.136898 
1.984375,-0.001371,-0.031267,0.128166 
1.984375,-0.001149,-0.023806,0.117757 
2.000000,-0.000392,-0.009505,0.108398 
